yaw,pitch,roll,xccel,zaccel,yawservo,pitchservo,altitude,tempurature,message,yawPID,pitchPID
-132.387,-119.904,-119.904,473,97,93.055,58.055,126.034,22.954,In Flight,15,15
-132.436,-119.64,-119.64,470,93,93.055,58.055,125.97,22.96,In Flight,15,15
-132.489,-119.506,-119.506,470,50,93.055,58.055,126.111,22.967,In Flight,15,15
-132.639,-119.712,-119.712,500,120,93.055,58.055,126.048,22.97,In Flight,15,15
-132.576,-119.767,-119.767,486,58,93.055,58.055,126.065,22.976,In Flight,15,15
-131.332,-120.092,-120.092,331,-47,93.055,58.055,125.991,22.985,In Flight,15,15
-129.469,-114.862,-114.862,397,-172,93.055,58.055,126.074,22.989,In Flight,15,15
-129.19,-112.798,-112.798,509,24,93.055,58.055,125.954,22.997,In Flight,15,15
-124.749,-114.12,-114.12,602,-78,93.055,58.055,126.045,23.001,In Flight,15,15
-131.859,-113.641,-113.641,477,-148,93.055,58.055,126.038,23.009,In Flight,15,15
-129.631,-112.891,-112.891,594,134,93.055,58.055,126.127,23.016,In Flight,15,15
-130.877,-113.635,-113.635,380,-59,93.055,58.055,126.062,23.025,In Flight,15,15
-130.542,-114.067,-114.067,474,12,93.055,58.055,125.996,23.031,In Flight,15,15
-133.355,-113.823,-113.823,473,5,93.055,58.055,126.045,23.039,In Flight,15,15
-133.45,-113.774,-113.774,442,-68,93.055,58.055,126.108,23.048,In Flight,15,15
-133.773,-113.466,-113.466,444,-80,93.055,58.055,126.195,23.052,In Flight,15,15
-134.51,-113.596,-113.596,516,80,93.055,58.055,126.089,23.059,In Flight,15,15
-134.558,-113.536,-113.536,446,-45,93.055,58.055,126.012,23.069,In Flight,15,15
-134.445,-113.932,-113.932,480,55,93.055,58.055,126.119,23.075,In Flight,15,15
-134.433,-114.029,-114.029,467,-15,93.055,58.055,126.153,23.082,In Flight,15,15
-136.354,-114.872,-114.872,450,1,93.055,58.055,126.135,23.085,In Flight,15,15
-137.077,-114.856,-114.856,455,-57,93.055,58.055,125.975,23.089,In Flight,15,15
-136.814,-114.446,-114.446,478,32,93.055,58.055,126.067,23.103,In Flight,15,15
-141.617,-115.549,-115.549,602,184,93.055,58.055,126.154,23.106,In Flight,15,15
-141.583,-116.236,-116.236,444,73,93.055,58.055,126.278,23.112,In Flight,15,15
-123.367,-112.829,-112.829,876,331,93.055,58.055,126.09,23.112,In Flight,15,15
-126.085,-110.89,-110.89,179,556,93.055,58.055,126.151,23.122,In Flight,15,15
-132.427,-105.656,-105.656,1319,755,93.055,58.055,126.115,23.126,In Flight,15,15
-148.347,-103.534,-103.534,1962,747,93.055,58.055,126.182,23.126,In Flight,15,15
117.081,-144.981,-144.981,-3310,1157,166.945,58.055,126.025,23.128,In Flight,-15,15
127.945,-132.845,-132.845,2796,-1563,166.945,58.055,126.337,23.134,In Flight,-15,15
146.858,-135.303,-135.303,-880,-161,166.945,58.055,126.579,23.14,In Flight,-15,15
-178.912,-125.055,-125.055,935,589,166.945,58.055,126.567,23.141,In Flight,-15,15
-123.805,-114.589,-114.589,-459,-977,93.055,58.055,126.708,23.146,In Flight,15,15
-132.03,-114.992,-114.992,269,-401,93.055,58.055,126.528,23.151,In Flight,15,15
-138.459,-123.387,-123.387,290,-762,93.055,58.055,126.487,23.159,In Flight,15,15
-160.301,-132.515,-132.515,-410,-287,93.055,58.055,126.587,23.161,In Flight,15,15
177.329,-142.03,-142.03,-993,-89,166.945,58.055,126.544,23.167,In Flight,-15,15
174.291,-140.074,-140.074,299,-50,166.945,58.055,126.633,23.17,In Flight,-15,15
-165.504,176.141,176.141,-311,54,93.055,131.945,126.631,23.172,In Flight,15,-15
-146.143,167.915,167.915,-106,717,93.055,131.945,126.554,23.176,In Flight,15,-15
-142.257,172.769,172.769,-179,850,93.055,131.945,126.501,23.179,In Flight,15,-15
-164.874,169.205,169.205,312,510,93.055,131.945,126.563,23.181,In Flight,15,-15
-176.186,165.866,165.866,319,479,93.055,131.945,126.548,23.186,In Flight,15,-15
-173.422,163.139,163.139,-163,465,93.055,131.945,126.602,23.192,In Flight,15,-15
-143.768,166.525,166.525,-443,415,93.055,131.945,126.622,23.196,In Flight,15,-15
-126.995,168.326,168.326,-420,472,93.055,131.945,126.586,23.2,In Flight,15,-15
-129.236,167.566,167.566,-324,454,93.055,131.945,126.602,23.203,In Flight,15,-15
-137.779,152.287,152.287,-14,598,93.055,131.945,126.624,23.206,In Flight,15,-15
-161.323,144.872,144.872,-304,659,93.055,131.945,126.662,23.211,In Flight,15,-15
-150.205,148.945,148.945,226,327,93.055,131.945,126.627,23.22,In Flight,15,-15
-151.194,148.034,148.034,-309,892,93.055,131.945,126.592,23.225,In Flight,15,-15
-142.202,146.113,146.113,-72,283,93.055,131.945,126.6,23.232,In Flight,15,-15
-147.647,140.732,140.732,-59,371,93.055,131.945,126.721,23.239,In Flight,15,-15
-150.517,139.491,139.491,-129,550,93.055,131.945,126.652,23.243,In Flight,15,-15
-153.659,138.169,138.169,-771,481,93.055,131.945,126.691,23.247,In Flight,15,-15
-137.587,151.503,151.503,-626,576,93.055,131.945,126.775,23.253,In Flight,15,-15
-158.72,165.541,165.541,240,365,93.055,131.945,126.737,23.254,In Flight,15,-15
-149.722,178.34,178.34,210,445,93.055,131.945,126.795,23.255,In Flight,15,-15
-138.051,-173.299,-173.299,-94,276,93.055,58.055,126.882,23.262,In Flight,15,15
-136.452,-177.029,-177.029,173,353,93.055,58.055,126.744,23.268,In Flight,15,15
-134.562,179.62,179.62,430,706,93.055,58.055,126.835,23.275,In Flight,15,15
-146.116,167.249,167.249,942,144,93.055,131.945,126.793,23.281,In Flight,15,-15
-152.507,162.97,162.97,-475,408,93.055,131.945,126.661,23.284,In Flight,15,-15
-155.711,165.445,165.445,618,828,93.055,131.945,126.725,23.285,In Flight,15,-15
-149.067,-178.467,-178.467,713,162,93.055,58.055,126.699,23.294,In Flight,15,15
-160.6,152.635,152.635,185,732,93.055,131.945,126.706,23.301,In Flight,15,-15
-149.644,136.381,136.381,-38,505,93.055,131.945,126.607,23.3,In Flight,15,-15
-153.17,133.993,133.993,-434,624,93.055,131.945,126.657,23.302,In Flight,15,-15
-162.546,134.984,134.984,509,1115,93.055,131.945,126.61,23.309,In Flight,15,-15
-160.331,138.88,138.88,-174,163,93.055,131.945,126.635,23.315,In Flight,15,-15
-167.838,140.882,140.882,-100,398,93.055,131.945,126.589,23.329,In Flight,15,-15
-176.107,154.042,154.042,392,147,93.055,131.945,126.627,23.328,In Flight,15,-15
178.96,155.284,155.284,-232,762,166.945,131.945,126.694,23.336,In Flight,-15,-15
178.508,157.21,157.21,-77,247,166.945,131.945,126.64,23.342,In Flight,-15,-15
102.665,164.705,164.705,1838,-13,166.945,131.945,126.721,23.359,In Flight,-15,-15
33.195,16.127,16.127,-627,43,166.945,131.945,126.807,23.36,In Flight,-15,-15
31.661,12.249,12.249,-61,-1515,166.945,131.945,126.861,23.367,In Flight,-15,-15
-0.073,13.589,13.589,408,-287,136.889,131.945,126.838,23.375,In Flight,-2.796,-15
-2.183,0.473,0.473,0,-3,123.546,96.397,126.848,23.381,In Flight,2.621,-0.567
3.998,-3.335,-3.335,-372,-165,133.368,90.118,126.956,23.387,In Flight,-1.367,1.983
18.949,-2.303,-2.303,-93,-155,166.945,129.627,126.683,23.396,In Flight,-15,-14.058
-15.174,17.181,17.181,31,-1548,166.945,110.93,126.97,23.4,In Flight,-15,-6.467
30.026,14.482,14.482,314,-161,166.945,131.945,126.783,23.406,In Flight,-15,-15
35.96,69.525,69.525,138,-762,166.945,131.945,126.795,23.413,In Flight,-15,-15
-9.489,61.644,61.644,239,-211,106.227,131.945,126.782,23.42,In Flight,9.653,-15
-25.073,57.44,57.44,447,178,93.055,131.945,126.716,23.424,In Flight,15,-15
-14.913,61.861,61.861,598,431,93.055,131.945,126.842,23.429,In Flight,15,-15
-20.985,65.608,65.608,309,129,93.055,131.945,126.764,23.44,In Flight,15,-15
-27.177,58.766,58.766,319,-47,93.055,131.945,126.734,23.444,In Flight,15,-15
-13.787,54.682,54.682,477,173,93.055,131.945,126.857,23.448,In Flight,15,-15
10.345,48.566,48.566,-97,-293,152.57,131.945,126.806,23.454,In Flight,-9.163,-15
25.5,33.628,33.628,-1053,262,166.945,131.945,126.767,23.462,In Flight,-15,-15
11.086,5.931,5.931,1875,21,165.716,114.016,126.744,23.468,In Flight,-14.5,-7.72
5.679,3.067,3.067,-284,-889,147.289,102.288,126.979,23.476,In Flight,-7.019,-2.958
15.868,15.704,15.704,1072,-2034,166.945,131.945,126.824,23.484,In Flight,-15,-15
14.723,2.65,2.65,-989,-3683,166.945,102.832,126.745,23.489,In Flight,-15,-3.179
40.629,10.183,10.183,1650,-1816,166.945,121.001,126.551,23.495,In Flight,-15,-10.556
23.885,31.327,31.327,2776,-811,166.945,131.945,126.415,23.5,In Flight,-15,-15
20.403,13.561,13.561,-2756,2066,166.945,131.945,126.513,23.505,In Flight,-15,-15
2.363,8.109,8.109,395,-1958,139.703,126.895,126.419,23.511,In Flight,-3.939,-12.949
3.698,-3.442,-3.442,-16,-902,143.17,87.285,126.455,23.514,In Flight,-5.347,3.133
0.587,4.711,4.711,-656,-215,130.359,107.697,126.376,23.521,In Flight,-0.145,-5.154
6.525,-2.661,-2.661,960,597,148.892,87.46,126.45,23.526,In Flight,-7.67,3.062
10.454,3.367,3.367,-592,206,160.898,104.952,126.4,23.533,In Flight,-12.544,-4.04
6.664,-6.45,-6.45,-203,574,145.938,60.147,126.625,23.539,In Flight,-6.47,14.151
3.828,-6.703,-6.703,223,402,143.031,75.267,126.486,23.546,In Flight,-5.29,8.012
-4.061,-8.024,-8.024,-104,72,121.098,70.21,126.414,23.552,In Flight,3.615,10.066
5.496,-7.742,-7.742,54,-306,144.694,72.167,126.373,23.562,In Flight,-5.965,9.271
6.801,-7.681,-7.681,8,-97,149.349,72.391,126.384,23.569,In Flight,-7.855,9.18
